No.;Parent_Category;Comment;Global_Rank;Visibility
318;Ring Aktion;;1;0
190;Neuheiten;;2;0
303;SchnÃ¤ppchen;;3;0
228;Aktuelle Angebote -  sparen bis zu 80% !!!!;Alle Artikel solange Vorrat reicht !;4;0
1;AnhÃ¤nger (Pendants);;5;9
189;FÃ¤delzubehÃ¶r - Beads;;6;0
9;Charm Kollektion (Charm Collection);;7;0
6;ArmbÃ¤nder (Bracelets/Bangles);;9;2
27;Collier (Necklaces);;10;2
26;Italienische Ketten (Italian Chains);;11;0
315;OhrhÃ¤nger zum Durchziehen;;12;0
14;Ohrschmuck (Earrings);;13;9
22;Ringe (Rings);Ringe nur gerade GrÃ¶ÃŸen z.B. 52, 54, 56...;14;9
222;Bernstein Kollektion;;15;0
317;Perlen Kollektion;;16;0
223;Opal Kollektion;;17;0
313;Wechselsystem Platten;;18;0
306;Indische Kollektion Halb-/Edelsteine;;19;0
319;Geometrische Formen;;20;0
316;zum Gravieren;;21;0
217;Kinder-Schmuck;;22;0
237;MÃ¤nner-Schmuck;;23;0
314;Oktober Fest / Bayern;;24;0
181;Weihnachten;;25;2
320;Nasenstecker;;26;0
321;Kreuze & Religionen;;27;0
322;Kronen;;28;0
323;Maritim,Seesterne,Muschel....;;29;5
329;Lebensblumen, LebensbÃ¤ume, Mandala, Orientalisch;;30;5
335;Herzen;;31;5
341;Sterne / Sonne / Mond;;32;5
347;Tiere;;33;3
351;Ewigkeitszeichen / Unendlichkeitszeichen / Infinity;;34;5
359;TotenkÃ¶pfe / Drachen / Hexen / Fee;;35;3
363;FuÃŸschmuck;;36;2
366;MÃ¼nze;;37;0
367;Blumen / Natur;;38;5
373;Spiralen / Wirbel;;39;5
382;Zeitlos / Evergreen;;40;5
388;Silberpflege;;41;0
389;GlÃ¼cksbringer;;42;0
390;Edelstein / Halbedelsteine;;43;4
