No.;name;comment;price;sizes;availability;expiry;Visibility;Revise;category;image
#64506;ES1178-WH-GP;Blume GP, 4 Navet Zirkonia;9,50€;ca. 14 mm;NEW;2023. 12. 31.;visible;;190;/64506
#64505;ES1178-WH;Blume, 4 Navet Zirkonia;8,50€;ca. 14 mm;NEW;2023. 12. 31.;visible;;190;/64505
#64504;PS1356-WH-GP;Blume GP, 4 Navet Zirkonia, Anhänger mit Schlaufe;8,50€;ca. 19 mm;NEW;2023. 12. 31.;visible;;190;/64504
#64503;PS1356-WH;Blume, 4 Navet Zirkonia, Anhänger mit Schlaufe;7,50€;ca. 19 mm;NEW;2023. 12. 31.;visible;;190;/64503
#64502;NP-C-10496-42+3CM;Collier mit Herz, Puzzle, Blume, Platte;10,00€;42+3 cm;NEW;2023. 12. 31.;visible;;190;/64502
#64501;NP872ST-GP;Collier mit 7 Plättchen;43,50€;45+3 cm;NEW;2023. 12. 31.;visible;;190;/64501
#64500;NP872ST;Collier mit 7 Plättchen;33,50€;45+3 cm;NEW;2023. 12. 31.;visible;;190;/64500
#64499;NS166-40+5CM;Kreis mit Zirkonia;20,50€;40+5 cm;NEW;2023. 12. 31.;visible;;190;/64499
#64498;NS165-40+5CM;Kreis im Kreis mit weißem Zirkonia;29,50€;40+5cm;NEW;2023. 12. 31.;visible;;190;/64498
#64497;RS937-WH;Vintage Stil mit Zirkonia;11,00€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64497
#64496;RP1421;Zaunmuster mit Navette und kleinen Kugeln;8,50€;Gr. 52, 54, 56, 58, 60, 62, 64;;;visible;;#NV;/64496
#64495;RS917-G-GEB-WHP;Runde Platte, Glanz/Gebürstet mit Perle;18,00€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;317;/64495
#64494;RS917-G-GEB-WH;Runde Platte, Glanz/Gebürstet mit WHcz;17,00€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64494
#64493;RS948-WHP;2-Reihig mit Perle Steg;9,75€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;317;/64493
