No.;name;comment;sizes;availability;expiry;Visibility;Revise;category;image;price
#64506;ES1178-WH-GP;Blume GP, 4 Navet Zirkonia;ca. 14 mm;NEW;2023. 12. 31.;visible;;190;/64506;9,50
#64505;ES1178-WH;Blume, 4 Navet Zirkonia;ca. 14 mm;NEW;2023. 12. 31.;visible;;190;/64505;8,50
#64504;PS1356-WH-GP;Blume GP, 4 Navet Zirkonia, AnhÃ¤nger mit Schlaufe;ca. 19 mm;NEW;2023. 12. 31.;visible;;190;/64504;8,50
#64503;PS1356-WH;Blume, 4 Navet Zirkonia, AnhÃ¤nger mit Schlaufe;ca. 19 mm;NEW;2023. 12. 31.;visible;;190;/64503;7,50
#64502;NP-C-10496-42+3CM;Collier mit Herz, Puzzle, Blume, Platte;42+3 cm;NEW;2023. 12. 31.;visible;;190;/64502;10,00
#64501;NP872ST-GP;Collier mit 7 PlÃ¤ttchen;45+3 cm;NEW;2023. 12. 31.;visible;;190;/64501;43,50
#64500;NP872ST;Collier mit 7 PlÃ¤ttchen;45+3 cm;NEW;2023. 12. 31.;visible;;190;/64500;33,50
#64499;NS166-40+5CM;Kreis mit Zirkonia;40+5 cm;NEW;2023. 12. 31.;visible;;190;/64499;20,50
#64498;NS165-40+5CM;Kreis im Kreis mit weiÃŸem Zirkonia;40+5cm;NEW;2023. 12. 31.;visible;;190;/64498;29,50
#64497;RS937-WH;Vintage Stil mit Zirkonia;Gr. 52, 54, 56, 58, 60, 62;;;visible;;;/64497;11,00
#64496;RP1421;Zaunmuster mit Navette und kleinen Kugeln;Gr. 52, 54, 56, 58, 60, 62, 64;;;visible;;;/64496;8,50
#64495;RS917-G-GEB-WHP;Runde Platte, Glanz/GebÃ¼rstet mit Perle;Gr. 52, 54, 56, 58, 60, 62;;;visible;;317;/64495;18,00
#64494;RS917-G-GEB-WH;Runde Platte, Glanz/GebÃ¼rstet mit WHcz;Gr. 52, 54, 56, 58, 60, 62;;;visible;;;/64494;17,00
#64493;RS948-WHP;2-Reihig mit Perle Steg;Gr. 52, 54, 56, 58, 60, 62;;;visible;;317;/64493;9,75
#64492;RSN60-TUERKIS;Ovaler Siegelring, TÃ¼rkis (SALE);Gr. 56, 62, 64, 66, 68, 70, 72;SALE;;visible;;;/64492;15,00
#64491;RSN60-ONYX;Ovaler Sigelring, Onyx (SALE);Gr. 54, 56, 58, 60, 62, 64, 66, 68, 70, 72,;SALE;;visible;;;/64491;15,00
#64490;RSN001-GRANAT;Ovaler Granat Ring;Gr. 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63;;;visible;;;/64490;19,50
#64489;RS946-WH;Offener Ring, 2 rechteckige Zirkonia;Gr. 52, 54, 56, 58, 60, 62, 64;;;visible;;;/64489;9,00
#64488;RS946-RUBY;Offener Ring, 2 rechteckige Zirkonia, Ruby;Gr. 52, 54, 56, 58, 60, 62;;;visible;;;/64488;9,00
#64487;RS946-GRANAT;Offener Ring, 2 rechteckige Zirkonia, Granat;Gr. 52, 54, 56, 58, 60, 62;;;visible;;;/64487;9,00
#64486;RS947-BLAU;Rechteckiger Zirkonia Blau;Gr. 52, 54, 56, 58, 60, 62;;;visible;;;/64486;7,75
#64485;RS947-GRUEN;Rechteckiger Zirkonia GrÃ¼n Emerald;Gr. 52, 54, 56, 58, 60, 62;;;visible;;;/64485;7,75
#64484;RS947-WH;Rechteckiger Zirkonia;Gr. 52, 54, 56, 58, 60, 62;;;visible;;;/64484;7,75
#64483;RS947-GRANAT;Rechteckiger Zirkonia Granat;Gr. 52, 54, 56, 58, 60, 62;;;visible;;;/64483;7,75
#64482;RS947-RUBYRED;Rechteckiger Zirkonia Rubyred;Gr. 52, 54, 56, 58, 60, 62;;;visible;;;/64482;7,75
#64481;ESN007-LABRADORITE;Tropfen Labradorite OhrhÃ¤nger;HÃ¶he: 16 mm;;;visible;;;/64481;10,50
#64480;H1899;Blume Rahmen mit Karabiner;14 x 14 mm;;;visible;;9;/64480;4,50
#64479;H096-ENGEL;Engel mit Akkordium mit Karabiner;HÃ¶he: 21 mm;;;visible;;181,217,9;/64479;6,00
#64478;PP3294;Offener Stern AnhÃ¤nger mit Schlaufe;HÃ¶he: ca. 11 mm;;;visible;;;/64478;5,00
#64477;PS1352-BLAUER-OPAL;Anker mit blauem Opal;HÃ¶he: ca. 22 mm;;;visible;;223;/64477;6,50
#64476;EP2769;2 Quadrate, 1 voll, 1 leer;HÃ¶he: 15 mm;NEW;2023. 11. 30.;visible;;319;/64476;6,00
#64475;EP1481-M;Spirale, Matt, Ohrstecker (Set);Ã˜: ca.11mm;;;visible;;;/64475;8,00
#64474;EP2066-M-GP;Mini Smiley Ohrstecker, goldplattiert;Ã˜: 6 mm;;;visible;;217;/64474;6,00
#64473;ES1108-GP-NASENSTECKER;Nasenstecker GP mit WHcz;;;;visible;;320;/64473;3,00
#64472;ES1108-WH-NASENSTECKER;Nasenstecker mit WHcz;;;;visible;;320;/64472;2,00
#64471;ERSQ6X6-PK;Ohrstecker Square Pink Zirkonia;6 x 6 mm;;;visible;;;/64471;2,00
#64470;VERLAENGERUNG;VerlÃ¤ngerung 3,5cm, 5er Pack/StÃ¼ck 0,80â‚¬;3,5 cm;;;visible;;9;/64470;4,00
#64469;ES731-AM;Square Zirkonia Stecker, lila;3 x 3 mm;;;visible;;;/64469;3,00
#64468;ES731-R;Square Zirkonia Stecker, rot;3 x 3 mm;;;visible;;;/64468;3,00
#64467;ES731-CH;Square Zirkonia Stecker, champagner;3 x 3 mm;;;visible;;;/64467;3,00
#64466;ES731-WH;Square Zirkonia Stecker, weiÃŸ;3 x 3 mm;;;visible;;;/64466;4,00
#64465;ES731-LG;Square Zirkonia Stecker, hellgrÃ¼n;3 x 3 mm;;;visible;;;/64465;3,00
